gene_set_id	phenotype	definition	gene_symbol	ensembl_gene_id	evidence	effect_direction	effect_beta	p_value	source_id	notes
sfari_all_scored	ASD	All genes assigned a SFARI score	PKD1	ENSG00000008710	3	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	PLAA	ENSG00000137055	3	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	PLAUR	ENSG00000011422	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	PLCB1	ENSG00000182621	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	PLCD4	ENSG00000115556	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	PLEKHA8	ENSG00000106086	3	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	PLN	ENSG00000198523	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	PLPPR4	ENSG00000117600	3	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	PLXNA3	ENSG00000130827	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	PLXNA4	ENSG00000221866	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	PLXNB1	ENSG00000164050	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	PNPLA7	ENSG00000130653	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	POGZ	ENSG00000143442	1	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	POLA2	ENSG00000014138	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	POLR2A	ENSG00000181222	3	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	POLR3A	ENSG00000148606	3	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	POMGNT1	ENSG00000085998	1	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	POMT1	ENSG00000130714	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	PON1	ENSG00000005421	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	POT1	ENSG00000128513	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	PPFIA1	ENSG00000131626	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	PPFIA3	ENSG00000177380	3	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	PPM1D	ENSG00000170836	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	PPP1R1B	ENSG00000131771	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	PPP1R9B	ENSG00000108819	1	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	PPP2R1A	ENSG00000105568	3	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	PPP2R1B	ENSG00000137713	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	PPP2R5C	ENSG00000078304	3	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	PPP2R5D	ENSG00000112640	1	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	PPP3CA	ENSG00000138814	3	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	PPP5C	ENSG00000011485	1	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	PREX1	ENSG00000124126	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	PRICKLE1	ENSG00000139174	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	PRICKLE2	ENSG00000163637	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	PRKAR1B	ENSG00000188191	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	PRKCA	ENSG00000154229	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	PRKCB	ENSG00000166501	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	PRKD2	ENSG00000105287	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	PRKDC	ENSG00000253729	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	PRKN	ENSG00000185345	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	PRMT9	ENSG00000164169	1	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	PRODH	ENSG00000100033	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	PRPF19	ENSG00000110107	3	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	PRPF39	ENSG00000185246	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	PRPF8	ENSG00000174231	3	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	PRR12	ENSG00000126464	1	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	PRR14L	ENSG00000183530	1	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	PRR25	.	3	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	PRUNE2	ENSG00000106772	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	PSD3	ENSG00000156011	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	PSMC5	ENSG00000087191	3	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	PSMD11	ENSG00000108671	1	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	PSMD12	ENSG00000197170	1	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	PSMD6	ENSG00000163636	1	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	PTBP2	ENSG00000117569	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	PTCH1	ENSG00000185920	3	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	PTCHD1	ENSG00000165186	1	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	PTCHD1-AS	ENSG00000233067	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	PTDSS1	ENSG00000156471	3	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	PTEN	ENSG00000171862	1	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	PTGS2	ENSG00000073756	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	PTK7	ENSG00000112655	1	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	PTPN11	ENSG00000179295	1	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	PTPRB	ENSG00000127329	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	PTPRC	ENSG00000081237	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	PTPRD	ENSG00000153707	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	PTPRS	ENSG00000105426	3	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	PTPRT	ENSG00000196090	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	PUF60	ENSG00000179950	3	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	PXDN	ENSG00000130508	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	PYHIN1	ENSG00000163564	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	QRICH1	ENSG00000198218	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	RAB11FIP4	ENSG00000131242	3	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	RAB11FIP5	ENSG00000135631	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	RAB2A	ENSG00000104388	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	RAB39B	ENSG00000155961	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	RAB43	ENSG00000172780	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	RAD21L1	ENSG00000244588	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	RAI1	ENSG00000108557	1	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	RALGAPA1	ENSG00000174373	3	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	RALGAPB	ENSG00000170471	1	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	RANBP17	ENSG00000204764	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	RANBP9	ENSG00000010017	3	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	RAP1A	ENSG00000116473	3	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	RAPGEF2	ENSG00000109756	3	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	RAPGEF4	ENSG00000091428	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	RASSF5	ENSG00000266094	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	RBBP5	ENSG00000117222	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	RBFOX1	ENSG00000078328	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	RBM27	ENSG00000091009	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	REEP3	ENSG00000165476	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	RELN	ENSG00000189056	1	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	RERE	ENSG00000142599	1	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	RFX3	ENSG00000080298	1	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	RFX4	ENSG00000111783	3	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	RFX7	ENSG00000181827	3	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	RGS7	ENSG00000182901	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	RHOXF1	ENSG00000101883	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	RICTOR	ENSG00000164327	3	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	RIMS1	ENSG00000079841	1	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	RIMS2	ENSG00000176406	3	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	RIMS3	ENSG00000117016	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	RIT2	ENSG00000152214	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	RNF135	ENSG00000181481	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	RNF25	ENSG00000163481	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	RNF38	ENSG00000137075	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	RNU2-2	ENSG00000222328	1	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	RNU4-2	ENSG00000202538	1	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	RNU5B-1	ENSG00000200156	1	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	ROBO2	ENSG00000185008	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	RORB	ENSG00000198963	1	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	RP11-1407O15.2	.	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	RPH3A	ENSG00000089169	3	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	RPL10	ENSG00000147403	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	RPS10P2-AS1	.	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	RPS6KA2	ENSG00000071242	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	RPS6KA3	ENSG00000177189	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	RSF1	ENSG00000048649	3	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	RUNX1T1	ENSG00000079102	1	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SACS	ENSG00000151835	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SAE1	ENSG00000142230	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SAMD11	ENSG00000187634	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SASH1	ENSG00000111961	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SATB1	ENSG00000182568	1	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SATB2	ENSG00000119042	1	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SBF1	ENSG00000100241	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SCAF1	ENSG00000126461	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SCAF4	ENSG00000156304	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SCFD2	ENSG00000184178	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SCGN	ENSG00000079689	3	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SCN1A	ENSG00000144285	1	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SCN2A	ENSG00000136531	1	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SCN3A	ENSG00000153253	3	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SCN4A	ENSG00000007314	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SCN8A	ENSG00000196876	1	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SCN9A	ENSG00000169432	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SCP2	ENSG00000116171	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SDC2	ENSG00000169439	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SEMA5A	ENSG00000112902	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SENP1	ENSG00000079387	3	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SENP6	ENSG00000112701	3	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SERPINE1	ENSG00000106366	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SET	ENSG00000119335	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SETBP1	ENSG00000152217	1	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SETD1A	ENSG00000099381	1	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SETD1B	ENSG00000139718	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SETD2	ENSG00000181555	1	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SETD5	ENSG00000168137	1	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SETDB1	ENSG00000143379	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SETDB2	ENSG00000136169	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SEZ6L2	ENSG00000174938	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SF1	ENSG00000168066	1	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SF3B1	ENSG00000115524	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SF3B3	ENSG00000189091	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SGSM3	ENSG00000100359	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SH3RF1	ENSG00000154447	3	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SH3RF3	ENSG00000172985	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SHANK1	ENSG00000161681	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SHANK2	ENSG00000162105	1	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SHANK3	ENSG00000251322	1	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SHOX	ENSG00000185960	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SIN3A	ENSG00000169375	1	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SIN3B	ENSG00000127511	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SKI	ENSG00000157933	1	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SLC12A5	ENSG00000124140	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SLC1A1	ENSG00000106688	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SLC1A2	ENSG00000110436	3	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SLC22A15	ENSG00000163393	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SLC22A9	ENSG00000149742	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SLC23A1	ENSG00000170482	3	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SLC24A2	ENSG00000155886	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SLC25A12	ENSG00000115840	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SLC25A27	ENSG00000153291	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SLC25A39	ENSG00000013306	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SLC27A4	ENSG00000167114	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SLC29A4	ENSG00000164638	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SLC35B1	ENSG00000121073	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SLC35G1	ENSG00000176273	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SLC38A10	ENSG00000157637	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SLC4A10	ENSG00000144290	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SLC6A1	ENSG00000157103	1	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SLC6A3	ENSG00000142319	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SLC6A4	ENSG00000108576	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SLC6A8	ENSG00000130821	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SLC7A3	ENSG00000165349	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SLC7A5	ENSG00000103257	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SLC7A7	ENSG00000155465	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SLC9A1	ENSG00000090020	3	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SLC9A6	ENSG00000198689	1	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SLC9A9	ENSG00000181804	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SLCO1B3	ENSG00000111700	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SLFN5	ENSG00000166750	3	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SLITRK5	ENSG00000165300	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SMAD4	ENSG00000141646	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SMAP2	ENSG00000084070	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SMARCA1	ENSG00000102038	1	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SMARCA2	ENSG00000080503	1	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SMARCA4	ENSG00000127616	1	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SMARCC2	ENSG00000139613	1	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SMC3	ENSG00000108055	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SMG6	ENSG00000070366	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SMURF1	ENSG00000198742	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SNAP25	ENSG00000132639	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SNCAIP	ENSG00000064692	3	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SND1	ENSG00000197157	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SNTG2	ENSG00000172554	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SNX5	ENSG00000089006	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SOD1	ENSG00000142168	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SON	ENSG00000159140	1	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SORCS3	ENSG00000156395	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SOS2	ENSG00000100485	1	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SOX5	ENSG00000134532	1	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SPARCL1	ENSG00000152583	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SPAST	ENSG00000021574	1	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SPEN	ENSG00000065526	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SPP2	ENSG00000072080	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SPRY2	ENSG00000136158	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SPTAN1	ENSG00000197694	3	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SPTBN1	ENSG00000115306	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SRCAP	ENSG00000080603	1	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SRGAP3	ENSG00000196220	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SRPRA	ENSG00000182934	1	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SRRM2	ENSG00000167978	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SRSF1	ENSG00000136450	3	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SRSF11	ENSG00000116754	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SSR4	ENSG00000180879	3	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	SSRP1	ENSG00000149136	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	ST7	ENSG00000004866	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	ST8SIA2	ENSG00000140557	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	STK39	ENSG00000198648	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	STX1A	ENSG00000106089	2	.	.	.	sfari_2026q2	.
sfari_all_scored	ASD	All genes assigned a SFARI score	STXBP1	ENSG00000136854	1	.	.	.	sfari_2026q2	.
